Date,City,Temperature (¡C),Humidity (%),Wind Speed (km/h),Condition
2026-01-01,Rawalpindi,15.4,58,11.4,Stormy
2026-01-02,Karachi,13.4,45,7.2,Windy
2026-01-03,Lahore,28.1,33,24.5,Stormy
2026-01-04,Islamabad,25.1,60,17,Cloudy
2026-01-05,Peshawar,24.6,53,22.8,Partly Cloudy
2026-01-06,Karachi,22.3,52,5.5,Stormy
2026-01-07,Rawalpindi,24.8,49,15.9,Cloudy
2026-01-08,Peshawar,28.5,71,13.1,Rainy
2026-01-09,Islamabad,25.2,42,17.8,Sunny
2026-01-10,Rawalpindi,34,55,6.6,Rainy
2026-01-11,Karachi,19.1,33,5.2,Cloudy
2026-01-12,Rawalpindi,20,73,13.5,Sunny
2026-01-13,Lahore,19.4,69,18.7,Rainy
2026-01-14,Islamabad,37.4,34,12.5,Partly Cloudy
2026-01-15,Karachi,15.1,71,7.8,Stormy
2026-01-16,Peshawar,21.6,77,14.1,Windy
2026-01-17,Rawalpindi,17,38,4.3,Stormy
2026-01-18,Lahore,30.3,80,12.9,Rainy
2026-01-19,Peshawar,27.5,60,14.8,Partly Cloudy
2026-01-20,Rawalpindi,17.6,70,23.1,Partly Cloudy
2026-01-21,Peshawar,35,55,9.6,Stormy
2026-01-22,Rawalpindi,29.8,69,9.4,Rainy
2026-01-23,Rawalpindi,24.9,58,13,Rainy
2026-01-24,Rawalpindi,21.3,68,24.8,Windy
2026-01-25,Rawalpindi,30.1,83,16,Windy
2026-01-26,Islamabad,32.7,82,4.1,Stormy
2026-01-27,Peshawar,11.8,45,12,Windy
2026-01-28,Islamabad,28.1,36,22,Partly Cloudy
2026-01-29,Lahore,30.6,79,11.6,Cloudy
2026-01-30,Lahore,36.9,58,9.5,Partly Cloudy
2026-01-31,Islamabad,29.6,77,6.6,Rainy
2026-02-01,Karachi,25.4,77,17.3,Rainy
2026-02-02,Karachi,11.1,42,10.8,Stormy
2026-02-03,Rawalpindi,28.9,36,15.6,Cloudy
2026-02-04,Lahore,21.2,80,4.6,Stormy
2026-02-05,Karachi,11.1,42,9.1,Rainy
2026-02-06,Karachi,37.8,40,4.3,Partly Cloudy
2026-02-07,Peshawar,26.1,52,7.7,Cloudy
2026-02-08,Rawalpindi,23.6,56,9.8,Rainy
2026-02-09,Rawalpindi,26.8,50,24.2,Windy
2026-02-10,Islamabad,27.1,30,15.8,Sunny
2026-02-11,Peshawar,18.4,30,4.7,Rainy
2026-02-12,Karachi,14.6,68,12.3,Sunny
2026-02-13,Rawalpindi,36.4,36,19.2,Rainy
2026-02-14,Lahore,21.7,87,18.6,Rainy
2026-02-15,Peshawar,25.7,44,10.9,Sunny
2026-02-16,Lahore,33.4,83,17.6,Rainy
2026-02-17,Rawalpindi,17.7,88,13,Sunny
2026-02-18,Karachi,24.7,79,10.1,Cloudy
2026-02-19,Rawalpindi,26.6,35,3.8,Rainy
